Property,Who's coming: Just the two of us,Who's coming: Family with children,Who's coming: A group of friends,Who's coming: A big get-together,Who's coming: Just me,How many: 3 or 4,How many: 5 or 6,How many: 7 or 8,How many: 9 to 12,How many: 13 or more,Where: Wroxham and Hoveton,Where: Horning,Where: Potter Heigham and the Thurne,"Where: Reedham, Brundall and the Yare",Where: Somewhere quiet and rural,Dates: Specific dates,Must have: The dog comes too,Must have: A mooring for our boat,Must have: Everything on one level,Must have: A hot tub,Must have: A river view,Your time: Out on the water,Your time: Fishing,Your time: Walking and wildlife,"Your time: Pubs, villages and days out",Your time: Doing very little
The Firs,+4,+6,+3,-6,+5,+6,X,X,X,X,+8,-5,-5,-5,-5,,X,+10,+13,-2,+4,+14,+11,+2,+11,+6
The Moorings,+4,+6,+3,-6,+5,+6,X,X,X,X,+8,-5,-5,-5,-5,,+10,+10,+13,-2,+4,+6,+11,+4,+11,+6
The River House,,+4,,,-4,-5,+2,+6,X,X,-5,-5,+8,-5,+8,,+10,+10,+10,-2,+8,+9,+11,+8,,+5
The Sheriff House,-6,+6,,+6,-4,-12,-12,-12,-5,+6,+8,-5,-5,-5,-5,,+10,+10,+10,-2,+8,+9,+3,+4,+5,+8
The Willows,+4,+4,,-6,+5,+6,X,X,X,X,-5,+8,-5,-5,-5,,X,+10,+10,-2,+8,+9,+11,,+5,+5
The Willows Wroxham,-6,+2,,+6,-4,-12,-5,+2,+6,X,+8,-5,-5,-5,-5,,X,+10,-8,-2,+8,+9,+11,+2,+3,+8
Waters Edge,,,,,-4,+2,+6,X,X,X,-5,-5,+8,-5,-5,,+10,+10,+10,-2,+8,+9,+11,+8,,+5
Waters Edge Cottage – Wroxham,-6,+6,,+6,-4,-12,+2,+6,X,X,+8,-5,-5,-5,-5,,X,+10,+10,-2,+8,+9,+11,+2,+5,+8
Westbury,-6,+2,+3,+6,-4,-12,+2,+6,X,X,-5,+8,-5,-5,-5,,+10,+10,-8,-2,+8,+9,+3,+4,+11,+6
Wherry Cottage,,+6,,,-4,-5,+2,+6,X,X,-5,+8,-5,-5,+8,,+10,+10,-8,-2,+4,+6,+3,+10,+2,+8
Wherrymere,-6,+4,,+6,-4,-12,+2,+6,X,X,-5,+8,-5,-5,-5,,+10,+10,-8,-2,+4,+6,+11,+2,+5,+5
Wildwood,,+6,,,-4,+2,+6,X,X,X,+8,-5,-5,-5,-5,,X,+10,+10,-2,+8,+9,+11,+2,+5,+8
Willow Lodge,-6,+6,,+6,-4,-12,-5,+2,+6,X,-5,+8,-5,-5,-5,,+10,+10,+13,-2,+8,+9,+3,+4,+5,+8
